Column1;Unnamed: 0;Tweets;Label
0;0;Ketua DPP PHRI DKI Jakarta Sutrisno Iwantono bilang, mereka bukan tak setuju dengan substansi melarang perzinahan.… https://t.co/T7Z9Gv9efg;1
1;1;"Soalnya, RKUHP yang baru berisi pasal perzinahan yang dianggap bisa merugikan industri pariwisata dan perhotelan.

| Narasi Daily";1
2;2;#Semuabisakena. Inget, kan, sama kampanye penolakan Rancangan Undang-Undang Kitab Hukum Pidana (RKUHP) ini. Kali in… https://t.co/tfZAamEDaR;1
3;3;"Gugatannya udah kalah. Selanjutnya, Pak Jokowi dan para menterinya harus gimana? Cek di video ya~ 

| Narasi Daily https://t.co/hGZI2HuXgI";1
4;4;"Semoga aja amunisi Kominfo bisa efektif buat ngeberantas hoaks di medsos deh ya~ 

| Narasi Daily https://t.co/35JZVbWkHA";0
5;5;Menurut LBH Bogor, Irwansyah, pemerintah Kota Bogor bisa digugat karena dianggap lalai mengelola fasilitas umum, da… https://t.co/grZpu5hfrI;1
6;6;“Harapan saya untuk Arema, yang meninggal dan jadi korban itu suportermu. Mereka yang mendukungmu secara materiil d… https://t.co/Vy9ZPMGEvi;0
7;7;"Kayaknya di luaran sana gampang banget ya buat ngakuin kesalahan terus mundur dari jabatan. 

Beda gitu loh~ 

| Na… https://t.co/XgnIT14dQK";1
8;8;Izin dulu buat pake lagunya ke .Feast bisa kali ya. Apalagi buat keperluan politik. Ini kaitannya sama hak moral da… https://t.co/Sknj6CF0Pe;1
9;9;Apa sih etilen glikol dan dietilen glikol yang menyebabkan ratusan kasus gagal ginjal akut pada anak di Indonesia?… https://t.co/VXamTS1gkk;0
10;10;Tidak cuma keluarga, Nanda, sahabat Revan pun merasa teramat kehilangan. Impian mereka berdua untuk bersama-sama tu… https://t.co/CJEsDGcHHV;0
11;11;"Dua hari sebelum peristiwa, Revan sudah berpamitan pada ayahnya untuk menonton langsung di Stadion Kanjuruhan.

Nam… https://t.co/ypcsUcnX61";0
12;12;"RT @narasitv: Duka Kanjuruhan, Duka Mereka yang Kehilangan
https://t.co/T8vNf1K6Cr

Peristiwa Kanjuruhan meninggalkan duka bagi banyak oran…";0
13;13;Sering banget denger resesi dari para pejabat. Sebenarnya berapa kali, sih, ekonomi dunia pernah resesi? Cek datany… https://t.co/BOkPIq16vv;1
14;14;Menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi. Namun, setelah sempat dikaitkan dengan… https://t.co/7TzluKmVYt;0
15;15;Jumlah ini meningkat dari data yang diumumkan sebelumnya, yakin terdapat 220 kasus dengan jumlah kematian mencapai 99 orang.;0
16;16;Menteri Kesehatan Budi Gunadi Sadikin melaporkan pada Jumat (21/10/2022) bahwa sudah terdapat 241 kasus gangguan gi… https://t.co/trWnBt02AJ;0
17;17;"ASN milenial udah siap pindah ke IKN belum? Fasilitasnya bakal jos loh kata pemerintah~ 

| Narasi Daily https://t.co/psiYPphy93";0
18;18;Gelar aksi solidaritas untuk peristiwa Kanjuruhan, sejumlah suporter ditangkap polisi. Alasannya, para suporter ini… https://t.co/eLLNlKrXwd;0
19;19;Kedutaan besar Iran di Seoul menyangkal kalo Rekabi hilang karena tanding tanpa hijab. Dan informasi terakhir, Reka… https://t.co/RgnrgrdQup;1
20;20;"Ini latihan beneran kan ya? 

Udahh, jangan panas-panasan, yang adem-adem aja, kasihan masyarakat dunia ikut kena i… https://t.co/OjMNzW4Lr2";0
21;21;"Korban meninggal akibat peristiwa Kanjurhan bertambah lagi.

Selamat jalan Reivano. Istirahat yang tenang😢🥀
https://t.co/plr7dd2TwC";0
22;22;"Ada yang ketar-ketir nih pasokan minyaknya dikurangi sama Arab Saudi heu~ 👀

Emang seberapa bergantung sih AS sama… https://t.co/kvaJxKKYh2";1
23;23;Semangat buat BTS yang bakal ikut wajib militer. Buat para ARMY, jangan sedih, mereka bakal kumpul tiga tahun lagi… https://t.co/3K2wl31Dnl;0
24;24;"Serem banget, abis ngebunuh malah senyum-senyum gitu😢😭

Informasi lainnya, tonton #NarasiPagi di… https://t.co/jgmIqBOFKB";0
25;25;Apa lagi, nih? Jangan ada intimidasi-intimidasi deh. Bakal susah terungkap dengan jelas dan transparan kalo sampe g… https://t.co/y1usVwDN4k;1
26;26;"Coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama BPOM.

| Narasi Daily https://t.co/5MnSvngUvO";0
