,Unnamed: 0,Tweets,Source,Likes,RTs,step1,tokens,final_tokens,step2
0,0.0,"Sejauh mana kamu mencari, ga harus ada jawabannya sekarang. Sabar, mungkin akan ada saat kamu sudah siap.",Twitter for iPhone,9473.0,3740.0,sejauh mana kamu mencari ga harus ada jawabannya sekarang sabar mungkin akan ada saat kamu sudah siap,"['sejauh', 'mana', 'kamu', 'mencari', 'ga', 'harus', 'ada', 'jawabannya', 'sekarang', 'sabar', 'mungkin', 'akan', 'ada', 'saat', 'kamu', 'sudah', 'siap']","['sejauh', 'mana', 'kamu', 'mencari', 'ga', 'harus', 'ada', 'jawabannya', 'sekarang', 'sabar', 'mungkin', 'akan', 'ada', 'saat', 'kamu', 'sudah', 'siap']",sejauh mana kamu mencari ga harus ada jawabannya sekarang sabar mungkin akan ada saat kamu sudah siap
1,1.0,Jadwalku bulan ini untuk bertemu kamu ☺️ https://t.co/Srxh3y42UU,Twitter for iPhone,597.0,56.0,jadwalku bulan ini untuk bertemu kamu cosr,"['jadwalku', 'bulan', 'ini', 'untuk', 'bertemu', 'kamu', 'cosr']","['jadwalku', 'bulan', 'ini', 'untuk', 'bertemu', 'kamu', 'cosr']",jadwalku bulan ini untuk bertemu kamu cosr
2,2.0,@iffhzzi @anjwiiink Desember aku ke Medan! Tungguin yaaa 😊,Twitter for iPhone,8.0,2.0,iffhzzi anjwiiink desember aku ke medan tungguin yaaa,"['iffhzzi', 'anjwiiink', 'desember', 'aku', 'ke', 'medan', 'tungguin', 'yaaa']","['iffhzzi', 'anjwiiink', 'desember', 'aku', 'ke', 'medan', 'tungguin', 'yaaa']",iffhzzi anjwiiink desember aku ke medan tungguin yaaa
3,3.0,@sunshineinevryd Besok aku ke Samarinda,Twitter for iPhone,32.0,0.0,sunshineinevryd besok aku ke samarinda,"['sunshineinevryd', 'besok', 'aku', 'ke', 'samarinda']","['sunshineinevryd', 'besok', 'aku', 'ke', 'samarinda']",sunshineinevryd besok aku ke samarinda
4,4.0,Kenapa udah lanjut lagi ke yang lain? Memangnya yang lalu sudah selesai?,Twitter for iPhone,19783.0,3182.0,kenapa udah lanjut lagi ke yang lain memangnya yang lalu sudah selesai,"['kenapa', 'udah', 'lanjut', 'lagi', 'ke', 'yang', 'lain', 'memangnya', 'yang', 'lalu', 'sudah', 'selesai']","['kenapa', 'udah', 'lanjut', 'lagi', 'ke', 'yang', 'lain', 'memangnya', 'yang', 'lalu', 'sudah', 'selesai']",kenapa udah lanjut lagi ke yang lain memangnya yang lalu sudah selesai
5,5.0,"RT @jowiwi26: Teh @yurayunita, more like yura yunari😭😭 🥰 https://t.co/kyKMCGTyKu",Twitter for iPhone,0.0,5.0,jowiwi teh yurayunita more like yura yunari cokykmcgtyku,"['jowiwi', 'teh', 'yurayunita', 'more', 'like', 'yura', 'yunari', 'cokykmcgtyku']","['jowiwi', 'teh', 'yurayunita', 'more', 'like', 'yura', 'yunari', 'cokykmcgtyku']",jowiwi teh yurayunita more like yura yunari cokykmcgtyku
7,7.0,Alasan termanis apa yang pernah kamu denger? Padahal kamu tau kalau itu bullshit?,Twitter for iPhone,14474.0,1328.0,alasan termanis apa yang pernah kamu denger padahal kamu tau kalau itu bullshit,"['alasan', 'termanis', 'apa', 'yang', 'pernah', 'kamu', 'denger', 'padahal', 'kamu', 'tau', 'kalau', 'itu', 'bullshit']","['alasan', 'termanis', 'apa', 'yang', 'pernah', 'kamu', 'denger', 'padahal', 'kamu', 'tau', 'kalau', 'itu', 'bullshit']",alasan termanis apa yang pernah kamu denger padahal kamu tau kalau itu bullshit
8,8.0,@WalterWisnu @bb_festival takut penontonnya cenat cenut,Twitter for iPhone,5.0,0.0,walterwisnu bb_festival takut penontonnya cenat cenut,"['walterwisnu', 'bb_festival', 'takut', 'penontonnya', 'cenat', 'cenut']","['walterwisnu', 'bb_festival', 'takut', 'penontonnya', 'cenat', 'cenut']",walterwisnu bb_festival takut penontonnya cenat cenut
9,9.0,Haha seru amat deh konsep acara semalam! Next kita cosplay jadi apa lagi ya di atas panggung? 😂,Twitter for iPhone,81.0,3.0,haha seru amat deh konsep acara semalam ne kita cosplay jadi apa lagi ya di atas panggung,"['haha', 'seru', 'amat', 'deh', 'konsep', 'acara', 'semalam', 'ne', 'kita', 'cosplay', 'jadi', 'apa', 'lagi', 'ya', 'di', 'atas', 'panggung']","['haha', 'seru', 'amat', 'deh', 'konsep', 'acara', 'semalam', 'ne', 'kita', 'cosplay', 'jadi', 'apa', 'lagi', 'ya', 'di', 'atas', 'panggung']",haha seru amat deh konsep acara semalam ne kita cosplay jadi apa lagi ya di atas panggung
10,10.0,"No sporty No Party! Begitu menurut konsep acara Pemanasan @bb_festival semalam. Apadaya, jiwa athlete wannabe ku me… https://t.co/RrAz5MGuTQ",Twitter Media Studio,322.0,23.0,no sporty no party begitu menurut konsep acara pemanasan bb_festival semalam apadaya jiwa athlete wannabe ku me corrazmgutq,"['no', 'sporty', 'no', 'party', 'begitu', 'menurut', 'konsep', 'acara', 'pemanasan', 'bb_festival', 'semalam', 'apadaya', 'jiwa', 'athlete', 'wannabe', 'ku', 'me', 'corrazmgutq']","['no', 'sporty', 'no', 'party', 'begitu', 'menurut', 'konsep', 'acara', 'pemanasan', 'bb_festival', 'semalam', 'apadaya', 'jiwa', 'athlete', 'wannabe', 'ku', 'me', 'corrazmgutq']",no sporty no party begitu menurut konsep acara pemanasan bb_festival semalam apadaya jiwa athlete wannabe ku me corrazmgutq
11,11.0,Kadang perlu ada jarak agar kita bisa baik-baik saja.,Twitter for iPhone,59536.0,19883.0,kadang perlu ada jarak agar kita bisa baik baik saja,"['kadang', 'perlu', 'ada', 'jarak', 'agar', 'kita', 'bisa', 'baik', 'baik', 'saja']","['kadang', 'perlu', 'ada', 'jarak', 'agar', 'kita', 'bisa', 'baik', 'baik', 'saja']",kadang perlu ada jarak agar kita bisa baik baik saja
12,12.0,mnangis haru https://t.co/owY1ODT9bu,Twitter for iPhone,444.0,32.0,mnangis haru coowyodtbu,"['mnangis', 'haru', 'coowyodtbu']","['mnangis', 'haru', 'coowyodtbu']",mnangis haru coowyodtbu
