,Tweets,Source,Likes,RTs
0,"Sejauh mana kamu mencari, ga harus ada jawabannya sekarang. Sabar, mungkin akan ada saat kamu sudah siap.",Twitter for iPhone,9473,3740
1,Jadwalku bulan ini untuk bertemu kamu ☺️ https://t.co/Srxh3y42UU,Twitter for iPhone,597,56
2,@iffhzzi @anjwiiink Desember aku ke Medan! Tungguin yaaa 😊,Twitter for iPhone,8,2
3,@sunshineinevryd Besok aku ke Samarinda,Twitter for iPhone,32,0
4,Kenapa udah lanjut lagi ke yang lain? Memangnya yang lalu sudah selesai?,Twitter for iPhone,19783,3182
5,"RT @jowiwi26: Teh @yurayunita, more like yura yunari😭😭 🥰 https://t.co/kyKMCGTyKu",Twitter for iPhone,0,5
6,😭😭😭 https://t.co/DjHi7kwew3,Twitter for iPhone,796,82
7,Alasan termanis apa yang pernah kamu denger? Padahal kamu tau kalau itu bullshit?,Twitter for iPhone,14474,1328
8,@WalterWisnu @bb_festival takut penontonnya cenat cenut,Twitter for iPhone,5,0
9,Haha seru amat deh konsep acara semalam! Next kita cosplay jadi apa lagi ya di atas panggung? 😂,Twitter for iPhone,81,3
10,"No sporty No Party! Begitu menurut konsep acara Pemanasan @bb_festival semalam. Apadaya, jiwa athlete wannabe ku me… https://t.co/RrAz5MGuTQ",Twitter Media Studio,322,23
11,Kadang perlu ada jarak agar kita bisa baik-baik saja.,Twitter for iPhone,59536,19883
12,mnangis haru https://t.co/owY1ODT9bu,Twitter for iPhone,444,32
13,Yang mau ayook… Ngga juga gapapa. Ngga akan pernah maksa 😊,Twitter for iPhone,12644,3094
14,@SpotifyID Aku lanjutin ya https://t.co/ApH3qh04S5,Twitter for iPhone,19,2
15,"Boleh ikut peluk juga gaaaa :,) https://t.co/xYErXkb2sz",Twitter for iPhone,137,8
16,Khilaf aku :’) jam segini makan martabak telor &amp; tipker 🤤 Kok niqmat banget yaaaa,Twitter for iPhone,644,9
17,RT @HipHipYURA: Jadwal teteh @yurayunita terupdate . Ada yang mau nonton bareng nggak hiphip ? https://t.co/baaEfvz5zN,Twitter Web App,0,5
18,"Rest in Love, Mas @rezagunawan 🤍",Twitter for iPhone,1457,140
19,RT @kegentagang: Tiktok Mama Lovy very very comforting. Selalu betah nontonin semua videonya 🥰 they deserve all the love and happiness in t…,Twitter for iPhone,0,5
20,https://t.co/0KQDCTOKns,Twitter for iPhone,150,18
21,Spotify canvas dunia tipu-tipu yang baru lumayan bikin haru. Cerita tentang Lovy yang hebat dan Mamanya yang kuat deserved all the love 🤍🤍🤍,Twitter for iPhone,3629,125
22,"Besok, manggung di intimate concert. Penontonnya ga banyak, dan semuanya perempuan. Ga sabaaarrr 💗💗💗",Twitter for iPhone,1732,23
23,"Terima kasih @teddyadhitya. Setelah sekian lama, akhirnya lagu ini dinyanyikan berdua lagi. Rasanya seperti mengoba… https://t.co/iqgwsB2gzv",Twitter Media Studio,734,108
24,Drop disini video kamu yang mau aku jadiin spotify canvas dunia tipu-tipu 👇,Twitter for iPhone,174,5
25,Banyak yang tanya besok besok siapa lagi. Ya belum tau. Pokoknya nanti aku akan ubah Spotify canvas Dunia Tipu-Tipu… https://t.co/fmgYJ2mTJE,Twitter for iPhone,442,13
26,@cursedkidd @kristoimmanuel kmu tmpat aku brtumpu,Twitter for iPhone,1678,52
27,"Terimakasih juga teman-teman yang lain udah mau setia menunggu sampai teman kita yang pingsan diselamatkan, baru ki… https://t.co/vdXwp47vCE",Twitter for iPhone,71,1
28,"Titip pesan dari aku. Sebelum datang ke konser atau festival, jangan lupa makan tepat waktu, minum air putih, makan… https://t.co/hutJ5fSegI",Twitter for iPhone,126,5
29,"Kemarin waktu aku perform, ada 2 orang di antara penonton yang pingsan. Untung tim medisnya super gercep menolong.… https://t.co/qeMjUFmjxO",Twitter for iPhone,408,14
30,Pokoknya aku seneng banget kemarin. Makasih banyak yaaa semuanya! Kita ketemu nanti malam di Foffest Makassar ✨ https://t.co/fLiPWIvLbt,Twitter for iPhone,636,29
31,"Terpantau masih ada :,) https://t.co/Ji2ebh416h https://t.co/0jveX0hhVL",Twitter for iPhone,2651,115
32,Kecuali yang ini . . . https://t.co/q2B7HIbpkW https://t.co/MyNcKCjTjT,Twitter for iPhone,57227,4271
33,Mau peluk semua yang udah nyanyi bareng sekencang-kencangnya tadi malam. https://t.co/gGVuF1X9Bs,Twitter for iPhone,5960,213
34,"RT @letterelia: semalam juga dibuat nangis kejer sama lagu tutur batin :((
terimakasihh tehhh sudah menyadarkan if we're more than enough!!…",Twitter for iPhone,0,48
35,@opik_gunners See you!,Twitter for iPhone,4,1
36,@Cristopher_pie Aduhhh,Twitter for iPhone,8,0
37,Yang reply nugget rebus ada masalah apa ya?,Twitter for iPhone,365,7
38,Hari ini ke Makassar! Enaknya makan apa ya di sana?,Twitter for iPhone,1499,25
39,@zivamagnolyeah semudah itu darling 💅🏻,Twitter for iPhone,5906,88
40,"Gantian ya kemarin willy, sekarang toko ci lenny.",Twitter for iPhone,53622,2429
41,🥹🥹🥹 https://t.co/hzJ93PMrM4,Twitter for iPhone,172,3
42,@zivamagnolyeah @cursedkidd Dibayar 35 milyar,Twitter for iPhone,1366,62
43,RT @ridwankamil: Malamnya menjamu para delegasi di Bogor untuk Mayoral Retreat dengan berbagai atraksi salah satunya nyanyian merdu luar bi…,Twitter for iPhone,0,19
44,Spotifyku dibajak willy 😂,Twitter for iPhone,60947,2876
45,@cursedkidd boleh. udah aku masukin kamu ke video dunia tipu tipu di spotify,Twitter for iPhone,8704,787
46,@cursedkidd aku,Twitter for iPhone,8615,198
47,@_wahyupriyanto_ Adaaa ✨ https://t.co/2JjicqsRlm,Twitter for iPhone,12,0
48,"Halo, September ✨🙌 https://t.co/6lZUF8NxDh",Twitter for iPhone,503,28
49,@cursedkidd diam km,Twitter for iPhone,2923,112
50,Lebih mudah untuk memaafkan atau membenci?,Twitter for iPhone,17102,1071
51,"RT @dyahcingawux: Sepakat ga guys, album @yurayunita yang tutur batin bener-bener ngajakin kita ngerasain healing journeynya dia. 
Aku bera…",Twitter for iPhone,0,15
52,"Istigfar… sabar mas, sabaar ☺️  #Intuisi di Makassar hehe https://t.co/ErxYxx6B5L",Twitter for iPhone,4731,952
53,"RT @Nosuprises99: Terima kasih untuk hari ini, sempat di notice juga sama kak @yurayunita . Akhir bisa dengar lagu yang sangat berarti buat…",Twitter for iPhone,0,18
54,"RT @4rifgunawan: Janji takkan ke mana-mana, ya.

By @yurayunita at Pestapora. https://t.co/pvQq7IHHg8",Twitter for iPhone,0,25
55,"Part 2, lanjutan dari apa yang telah terjadi di video musik #DuniaTipuTipu

Mengutarakan yang belum terucap sebelum… https://t.co/JUnXufwL5o",Twitter for iPhone,228,45
56,@senang2fest Ga sabar juga mau nyanyi bareng langsung sama teman teman disana! 🙌,Twitter for iPhone,2,2
57,"Lagu dan album ini sebuah persembahan terima kasih untuk mereka yang selalu ada, yang bersahabat dengan lebih kuran… https://t.co/p4wKtFgv44",Twitter for iPhone,179,30
58,"Dunia kadang penuh tipu-tipu, tapi ketika kita punya seseorang untuk bertumpu, jadi pegangan, jadi rumah, jadi temp… https://t.co/p6oXQJc43H",Twitter for iPhone,1108,631
59,"Sampul album #TuturBatin adalah tangkapan gambar dari kamera pribadi di kala proses lebih mengenal diri, menerima d… https://t.co/8WOeWBdJvL",Twitter for iPhone,67,2
60,"Lagu ini juga jadi urutan pertama dari rangkaian 11 lagu yang ada di album ke-3 ku, Tutur Batin. Berperan menjadi p… https://t.co/JTTbcex1Vr",Twitter for iPhone,43,1
61,Demo version lagu #DuniaTipuTipu. Ditulis dan direkam seadanya tahun lalu beberapa hari setelah ulang tahunku. https://t.co/GmbDDdinpO,Twitter Media Studio,555,66
62,https://t.co/qKGOm5Twyj,Twitter for iPhone,102,4
63,@eliensambat hmmm belum dengerin dunia tipu-tipu ya km,Twitter for iPhone,1,0
64,Ku tertawa tanpa tapi. Tetaplah seperti ini~,Twitter for iPhone,1178,168
65,"Aku melihat pernikahan itu komposisinya 10% cintah, 90% lelucon aneh tiap hari.",Twitter for iPhone,36830,5502
66,RT @katsumatcha: Yura Yunani nih @yurayunita https://t.co/pS1gTRpDsp,Twitter for iPhone,0,11
67,RT @gaby_sumaraw: @yurayunita Epic Closing Asian Para Games Merakit+fireworks 🎆 kayaknya merakit Live hari ini terbaik &amp; super indah @yuray…,Twitter for iPhone,0,22
68,"@jsaidwortell Masih aja :,)",Twitter for iPhone,4,1
69,Sudah tiba di Solo untuk Closing Ceremony Asean Para Games nanti malam 😊,Twitter for iPhone,1320,28
70,🥹☺️☺️🤗🤗 https://t.co/cuDwQhgdcO,Twitter for iPhone,275,16
71,Tidak setiap saat saling bertukar kabar tapi tau kalau masing-masing dari kita selalu ada untuk satu sama lain.,Twitter for iPhone,47518,14151
72,Siapa yang terlintas di kepalamu waktu dengerin #DuniaTipuTipu?,Twitter for iPhone,12746,734
73,Nangis banget liat ada yang recreate video musik dunia tipu tipu sama pasangannya 😭 https://t.co/fcAH7aoP2I,Twitter Media Studio,4007,603
74,Terima kasih 💗💗💗,Twitter for iPhone,109,3
75,"2 hari, 2jt views, #1 di youtube trending for music. Masih ga nyangka 😭

https://t.co/qKGOm5Twyj https://t.co/5plzcvqWYk",Twitter for iPhone,1747,109
76,"@ikanatassa Kak Ika, terima kasih 🥹",Twitter for iPhone,5,0
77,"RT @vlyyy_____: Dari kemarin masih nahan untuk liat MV nya teh Yura yunita - Dunia Tipu Tipu , ini. tapi hari ini coba nonton, dan alhasil…",Twitter for iPhone,0,3
78,"RT @selplopppp: baru kali ini dengerin lagu pertama kali langsung nangis, gila keren banget lagunya yura yunita dunia tipu-tipu. nangis kej…",Twitter for iPhone,0,32
79,Salam untuk Ibu yaaaa Yaya 🤍🙏🏻 https://t.co/zKCHoQBU6t,Twitter for iPhone,87,3
80,1 juta lebih dalam 1 hari. Aku masih memproses berjuta rasa yang muncul dalam beberapa hari terakhir ini. Rasa yang… https://t.co/n5QjmdVWKr,Twitter for iPhone,27139,2367
81,"RT @abigailimuriaa: Dunia Tipu-Tipu bagus banget. Simpel, intimate, ngebekas, pesennya nancep. Salah satu musik video terbaik yang pernah g…",Twitter for iPhone,0,11
